ResturantId,ResturantName,ResturantZone,ResturanantAddress,ResturantTiming
10001,Brahma Brews,JP Nagar,"24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore",12noon – 12midnight (Mon-Sun)
10002,Big Pitcher,Sarjapur Road,"Doddakannelli Village, Varthur, Hobli, Sarjapur Road, Bangalore",11am – 1am (Mon-Sun)
10003,The Big Barbeque,Electronic City,"163, 2nd Floor, 1st Cross Road, Neeladri Nagar, Phase 1, Electronic City, Bangalore","11:30am – 4pm, 6:30pm – 11pm (Mon-Sun)"
10004,BLR Brewing Co.,Electronic City,"84/4, 4th Floor, Neeladri Road, Phase 1, Electronic City, Bangalore","12:30pm – 12:30am (Mon, Tue, Sat, Sun), 12:30pm..."
10005,Dr. Sheesha 24 Hours Gastro Pub,"The Sahar Pavilion, Electronic City","Sahar Pavillion Hotel, 2224 & 2225, AECS Layout, Singasandra, Electronic City, Bangalore",11am – 5am (Mon-Sun)
10006,Byg Brewski Brewing Company,Sarjapur Road,"Behind MK Retail, Sarjapur Road, Bangalore",12noon – 1am (Mon-Sun)
10007,URU Brewpark,JP Nagar,"Maratt Estate, 4th Phase, Near Maratt Pimento, JP Nagar, Bangalore",12noon – 12midnight (Mon-Sun)
10008,Hoot,Sarjapur Road,"2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore","12noon – 12:30am (Mon, Tue, Wed, Thu, Sun), 12noon..."
10009,The Fisherman's Wharf,Sarjapur Road,"26, Opposite Shubh Enclave,  Ambalipura Village, Sarjapur Road, Bangalore",12noon – 1am (Mon-Sun)
10010,Masala Mandi,Sarjapur Road,"2nd Floor, Gold Sand, Doddakannelli, Sarjapur Road, Bangalore","12noon – 4pm, 6:30pm – 11:30pm (Mon-Sun)"
10011,AB's - Absolute Barbecues,BTM,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore","12noon – 4pm, 6:30pm – 12midnight (Mon-Sun)"
10012,Shivaji Military Hotel,Jayanagar,"718, 1st C Main, 45th Cross, 8th Block, Jayanagar, Bangalore",8:30am – 3:30pm (Mon-Sun)
10013,Levels,JP Nagar,"14, Outer Ring Road, Dollars Colony, 4th Phase, JP Nagar, Bangalore",12noon – 1am (Mon-Sun)
10014,The Globe Grub,BTM,"C K Emerald, Bannerghata Main Road, Opposite Yes Bank, BTM, Bangalore","11:30am – 4pm, 6:30pm – 11pm (Mon-Sun)"
10015,Stories - The Brew Chapter,BTM,"348/1/2, Survey 62, 29th Main, 2nd Stage, Lake Road, BTM, Bangalore",12noon – 1am (Mon-Sun)
10016,Meghana Foods,Jayanagar,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore","12noon – 4pm, 7pm – 11pm (Mon-Sun)"
10017,The Pump House,JP Nagar,"607, 15th Cross, Outer Ring Road, 1st Phase, JP Nagar, Bangalore",12noon – 1am (Mon-Sun)
10018,Sarjapur Social,Sarjapur Road,"22, 57/58/1/2, Saket Callipolis, Doddakannhalli, Ambalipura, Sarjapur Road, Bangalore",9am – 12:30am (Mon-Sun)
10019,Barbeque Nation,JP Nagar,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore","12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)"
10020,TBC Sky Lounge,HSR,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore",12noon – 12midnight (Mon-Sun)
10021,46 Ounces Brewgarden,Electronic City,"43, Phase 1, Electronic City, Bangalore",12noon – 11pm (Mon-Sun)
10022,Xochi Bar And Kitchen,Bellandur,"1202, Survey 79/7, Outer Ring Road, Varathur Hobli, Bellandur, Bangalore",12noon – 12midnight (Mon-Sun)
10023,Deja Vu Buffet Bar,JP Nagar,"7/8, Doresanipalya, 5th Phase, Opposite Oracle, JP Nagar, Bangalore","11am – 4pm, 6:30pm – 11pm (Mon-Sun)"
10024,Aurum Brew Works,Sarjapur Road,"3rd Floor, Gold Sand, Doddakannelli, Sarjapur Road, Bangalore",12:30pm – 12:30am (Mon-Sun)
10025,Mavalli Tiffin Room (MTR),Basavanagudi,"14, Lalbagh Road, Mavalli, Basavanagudi, Bangalore","Closed (Mon),6:30am – 11am, 12:30pm – 9pm (Tue-Sun)"
10026,Vapour Brewpub and Diner,Sarjapur Road,"7th Floor, Bren Mercury, Kaikondrahalli Junction, Sarjapur Road, Bangalore",12noon – 1am (Mon-Sun)
10027,Grasshopper,Bannerghatta Road,"45, Near Meenakshi Temple, Kalena Agrahara, Bannerghatta Road, Bangalore","7:30pm – 11pm (Mon-Thu),7:30pm – 11:30pm..."
10028,eat.fit,HSR,"16, 1st Main Road, Muneswara Nagar, Sector 6, HSR, Bangalore",7am – 10:30pm (Mon-Sun)
10029,Hakuna Matata,JP Nagar,"1231/35/2, 24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore",12:30pm – 11:30pm (Mon-Sun)
10030,Gilly's Restobar,Electronic City,"Ashrith Corner, Near Ajmera Neeladri Road, Phase 1, Electronic City, Bangalore",12noon – 1am (Mon-Sun)
10031,Fire Station,Electronic City,"154, Neeladri Main Road, Near Unlimited Store, Doddathoguru, Phase 1, Electronic City, Bangalore",12noon – 1am (Mon-Sun)
10032,House Of Commons,HSR,"1085, 14th Main, 18th Cross, Sector 3, HSR, Bangalore",10:30am – 12:30am (Mon-Sun)
10033,Levitate Brewery and Kitchen,JP Nagar,"57, 1st Main Road, Sarakki Industrial Layout, 3rd Phase, JP Nagar, Bengalore",12noon – 12:30am (Mon-Sun)
10034,Stegi - Modern Indian,Jayanagar,"Building 5, 5th Floor, 3rd Block, Diagonal Road, Fab India Building, Opposite President Hotel, Jayanagar, Bangalore","12noon – 4pm, 7pm – 12midnight (Mon-Sun)"
10035,Al Daaz,HSR,"64 & 65, 27th Main Road, Sector 1, HSR, Bangalore","12noon – 12:30am (Mon, Tue, Wed, Thu, Sat, Sun)..."
